,color,duration,gross,genres,facenumber_in_poster,language,content_rating,budget,title_year,imdb_score,aspect_ratio,director_avg_gross,director_avg_score,director_movies,actor_average_score,actor_average_gross,actor_movies,gross_class
1052,Color,122.0,53574088.0,Adventure|Crime|Drama|Western,1.0,English,R,55000000.0,2007.0,7.8,2.35,58369409.2,7.160000000000001,5,3.764814814814815,8144860.086419754,17,5
1054,Color,123.0,37339525.0,Crime|Drama|Romance|Thriller,1.0,English,R,48000000.0,1998.0,7.0,1.85,24741700.0,7.2,1,2.1388888888888893,15136612.833333336,4,4
1055,Color,96.0,60154431.0,Comedy|Drama|Thriller,1.0,English,PG-13,47000000.0,1996.0,6.0,2.35,0.0,0.0,0,1.7444444444444445,30889543.16666667,4,5
1057,Color,105.0,103738726.0,Action|Comedy|Crime|Music|Romance|Thriller,1.0,English,PG,100000000.0,1990.0,6.1,1.85,0.0,0.0,0,0.4666666666666667,1597242.333333333,1,7
1058,Color,113.0,69304264.0,Crime|Romance|Thriller,0.0,English,R,48000000.0,1999.0,6.8,2.35,76438020.66666667,7.2333333333333325,6,2.9722222222222214,13160322.88888889,5,6
1059,Color,132.0,29781453.0,Biography|Comedy|Drama,1.0,English,PG-13,48000000.0,2001.0,6.4,1.85,82253294.33333333,6.866666666666667,3,1.3888888888888893,12398770.0,2,4
1062,Color,75.0,15519841.0,Adventure|Animation|Comedy|Family|Fantasy,3.0,English,PG,47000000.0,2006.0,4.5,1.85,0.0,0.0,0,4.105555555555556,39564519.1,13,3
1063,Color,108.0,5600000.0,Drama|Horror|Romance|Thriller,1.0,English,R,47000000.0,1996.0,5.8,1.85,34700000.0,7.7,2,1.4629629629629628,21604589.444444444,5,2
1064,Color,105.0,126805112.0,Comedy|Romance,1.0,English,PG-13,46000000.0,1997.0,6.3,2.35,0.0,0.0,0,2.0638888888888887,20642649.80555556,7,7
1065,Color,102.0,93607673.0,Comedy|Romance,4.0,English,PG-13,48000000.0,2001.0,5.7,2.35,0.0,0.0,0,2.2716049382716053,33697444.56790123,12,6
1066,Color,118.0,67263182.0,Drama|Mystery|Thriller,0.0,English,R,46000000.0,2002.0,7.2,2.35,25530884.0,8.5,1,3.2075396825396822,35511279.36111111,13,6
1067,Color,111.0,92001027.0,Action|Adventure|Drama|Sci-Fi|Thriller,2.0,English,PG-13,45000000.0,1996.0,7.6,2.35,0.0,0.0,0,3.011111111111111,25034032.66666667,4,6
1068,Color,81.0,10539414.0,Action|Drama|Fantasy|Thriller|Western,1.0,English,PG-13,47000000.0,2010.0,4.7,2.35,0.0,0.0,0,1.7777777777777777,36790629.222222224,2,3
1069,Color,116.0,58918501.0,Action|Drama|Mystery|Thriller|War,1.0,English,R,46000000.0,1996.0,6.6,1.85,40062947.333333336,7.7666666666666675,3,2.5305555555555554,22795591.08333333,12,5
